Employee_ID,Subfield,Entry_Year,Exit_Year,Status,Exit_Reason,Min_Package_LPA,Avg_Package_LPA,Max_Package_LPA,Experience_Years,City,Education_Level,Work_Mode
EMP01271,Networking,01/18,,1,,1.39,2.5,7.45,6.0,Bangalore,Bachelor's,Remote
EMP00457,IT SUPPORT & HELPDESK,2017,,Yes,,11.69,16.21,36.01,7.0,Mumbai,Master's,Remote
EMP00542,IT Support & Helpdesk,01/20,2020-01-01,N,higher studies,5.93,8.98,15.37,4.0,Gurgaon,Master's,Hybrid
EMP00940,CLOUD COMPUTING,2020,,Active,,7.16,9.63,26.09,4.0,Mumbai,,Hybrid
EMP00582,UI/UX DESIGN,2018,,ACTIVE,,5.09,0.58,20.25,6.0,mumbai,Master's,Onsite
EMP01405,  DevOps  ,2015,,Yes,,3.12,4.3,12.06,10.0,Delhi,Master's,WFH
EMP02134,qa & testing,2019-01-01,2019.0,Resigned,Health Reasons,5.05,8.04,18.85,5.0,Noida,Bachelor's,Onsite
EMP01262,UI/UX DESIGN,2021,,Active,,12.29,16.83,35.9,3.0,Pune,MASTER'S,Remote
EMP01779,Data Science,2016,,ACTIVE,,1.74,2.5,4.45,8.0,Delhi,Bachelor's,Work From Home
EMP00298,  IT Support & Helpdesk  ,2020-01-01,,Working,,5.73,9.53,16.69,4.0,  Chennai  ,Diploma,Onsite
EMP00279,Data Science,2015,2016,EXITED,Higher Studies,1.81,2.5,5.62,9.0,gurgaon,Bachelor's,Hybrid
EMP02083,IT SUPPORT & HELPDESK,2016-01-01,,1,,1.79,2.5,7.06,8.0,Noida,Master's,WFH
EMP01674,ai/ml engineering,2021,,active,,4.77,7.44,16.17,4.0,Pune,Bachelor's,Hybrid
EMP00110,DevOps,2019,,1,,5.09,7.37,20.46,5.0,  Mumbai  ,Master's,Onsite
EMP00444,Business_Analysis,01/23,,active,,4.71,7.08,20.28,1.0,gurgaon,Bachelor's,WFH
EMP00375,Business Analysis,2020,2023-01-01,Exited,HIGHER SALARY ELSEWHERE,5.67,9.43,22.02,4.0,hyderabad,Master's,Hybrid
EMP00467,CLOUD COMPUTING,2024,,1,,6.62,11.09,25.28,1.0,Noida,Master's,Hybrid
EMP00796,business analysis,2022,,1,,5.63,8.07,16.45,2.0,Delhi,Master's,Onsite
EMP00822,cybersecurity,2022,,1,,3.93,5.46,10.05,2.0,GURGAON,Bachelor's,onsite
EMP01830,IT Support & Helpdesk,2018,,active,,4.25,6.66,19.29,6.0,Pune,MASTER'S,Hybrid
EMP01499,AI/ML Engineering,2022,01/22,exited,Higher Studies,13.26,18.4,42.58,3.0,Bangalore,Master's,Onsite
EMP02006,Data Science,01/20,2020,Left,Career Switch,8.81,13.49,32.75,4.0,DELHI,Bachelor's,Remote
EMP01444,Business Analysis,2017,,Active,,7.03,11.77,23.37,7.0,Bangalore,MASTER'S,Remote
EMP00111,Business Analysis,2021,,active,,6.15,0.72,17.89,4.0,Mumbai,Master's,Hybrid
EMP01557,DevOps,2018,,Active,,5.74,9.92,24.67,6.0,BANGALORE,PhD,Hybrid
EMP00305,Database Administration,2020,,Working,,9.25,13.23,36.28,5.0,  Mumbai  ,Bachelor's,Hybrid
EMP01082,Database Administration,2015.0,,ACTIVE,,1.42,2.5,4.29,9.0,Pune,Diploma,Remote
EMP01876,business analysis,2022-01-01,,Active,,5.97,8.42,22.53,2.0,mumbai,Master's,Remote
EMP00548,Software Development,2023-01-01,,Yes,,7.55,11.05,22.61,1.0,Delhi,Master's,Remote
EMP01472,qa & testing,2019,01/24,0,health reasons,5.67,8.32,20.93,5.0,Bangalore,Bachelor's,Onsite
EMP01274,NETWORKING,01/16,,active,,1.41,2.5,5.69,8.0,Mumbai,Bachelor's,WFH
EMP01497,Cybersecurity,2024,2024-01-01,No,Company Restructuring,8.04,13.47,32.07,0.0,PUNE,Diploma,Onsite
EMP00361,IT Support & Helpdesk,2024,2024,0,Career Switch,8.76,13.21,35.39,0.0,Delhi,Master's,Onsite
EMP01860,ai/ml engineering,01/18,2018.0,Resigned,career switch,7.6,12.76,25.96,7.0,DELHI,Master's,WFH
EMP02198,UI/UX DESIGN,2023,2023,Resigned,health reasons,9.08,13.14,28.35,1.0,  Mumbai  ,Master's,Hybrid
EMP01906,IT Support & Helpdesk,2017,,Active,,1.74,2.5,4.56,7.0,hyderabad,Diploma,Work From Home
EMP02190,DevOps,2016,,1,,3.68,6.37,16.07,9.0,  Pune  ,Bachelor's,Hybrid
EMP01646,  UI/UX Design  ,2020-01-01,2023,No,Higher Studies,4.57,6.2,16.68,4.0,delhi,Bachelor's,Hybrid
EMP00312,Cybersecurity,2022,2024,Exited,Company Restructuring,2.96,5.31,14.44,3.0,Noida,Master's,Onsite
EMP00798,Cloud Computing,2018,,active,,5.09,8.99,18.81,6.0,Bangalore,bachelor's,Onsite
EMP01139,networking,2021-01-01,2021,exited,higher studies,4.9,7.26,12.37,3.0,PUNE,Bachelor's,Hybrid
EMP00802,,2019,01/20,,Company Restructuring,4.06,,19.76,,,,
EMP00481,QA & Testing,2019.0,01/21,exited,Health Reasons,9.24,13.49,27.03,5.0,Mumbai,Bachelor's,Onsite
EMP01420,Cloud Computing,2022-01-01,2023.0,No,RETIREMENT,10.35,15.68,29.04,2.0,Noida,Master's,Onsite
EMP01117,DEVOPS,2018,,1,,8.14,11.76,23.9,7.0,Hyderabad,Bachelor's,Remote
EMP02017,Database Administration,2023,,ACTIVE,,7.82,12.94,38.08,2.0,Bangalore,Bachelor's,Remote
EMP01988,UI/UX Design,2023-01-01,,ACTIVE,,10.23,14.34,37.81,2.0,BANGALORE,Master's,Onsite
EMP00316,Data Science,2017,,Active,,4.33,6.14,11.62,8.0,NOIDA,Master's,Hybrid
EMP01076,CLOUD COMPUTING,2023-01-01,,Working,,6.04,10.52,26.23,1.0,  Gurgaon  ,Master's,Onsite
EMP00069,Data Science,2019-01-01,01/24,0,  Health Reasons  ,4.82,8.0,23.9,5.0,Gurgaon,Bachelor's,Hybrid
